"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HTDD","MNPN","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00454679","LIND 3 NE, WA US","2000-04",,"0","0","3","1","0","0","0","8","0","15","0","22","0","0.0","0.36","78","6.13","5195","374","44","67","0.45",,"0.0","52.5","67.2","37.8",,,,,"1426.0",,,
"USC00454679","LIND 3 NE, WA US","2000-05",,"2","2","7","2","0","0","0","2","0","19","0","25","0","0.0","0.35","81","8.30","5488","294","47","70","0.69",,"0.0","55.6","70.2","41.0",,,,,"2074.1",,,
"USC00454679","LIND 3 NE, WA US","2000-06",,"55","53","2","2","0","0","0","0","0","27","3","38","0","0.0","0.51","93","11.22","5584","96","53","80","0.78",,"0.0","63.6","79.7","47.4",,,,,"1985.9",,,
"USC00454679","LIND 3 NE, WA US","2000-07",,"210","155","3","1","0","0","0","0","0","30","11","42","0","0.0","0.37","100","12.37","31","31","56","88","0.46",,"0.0","69.0","86.7","51.3",,,,,"1814.4",,,
"USC00454679","LIND 3 NE, WA US","2000-08",,"352","142","0","0","0","0","0","0","0","30","12","39","0","0.0","0.00","98","10.59","69","38","57","86","0.00",,"0.0","68.8","86.7","50.8",,,,,"1327.9",,,
"USC00454679","LIND 3 NE, WA US","2000-09",,"387","35","6","4","0","0","0","2","0","20","3","27","0","0.0","0.35","94","7.58","264","195",,,"1.12",,"0.0","59.5","74.5","44.6",,,,,"1783.3",,,
"USC00454679","LIND 3 NE, WA US","2000-10",,"387","0","7","2","0","0","0","13","0","5","0","26","0","0.0","0.53","73",,"775","511",,,"0.91",,"0.0","48.5","60.9","36.1",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2000-11",,"387","0","4","3","2","0","0","29","6","0","0","13","2","0.0","0.40","52",,"1796","1020",,,"0.85",,"0.0","31.0","38.1","23.9",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2000-12",,"387","0","8","2","19","6","0","31","17","0","0","7","6","3.0","0.11","40",,"2994","1199",,,"0.55",,"8.9","26.3","31.2","21.5",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2001-01",,"0","0","8","2","31","2","0","31","11","0","0","14","4","2.0","0.19","45",,"4104","1109",,,"0.43",,"4.0","29.2","33.8","24.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2001-02",,"0","0","5","1","9","2","0","25","3","0","0","17","3","3.0","0.22","49",,"5003","899",,,"0.30",,"4.5","32.9","39.6","26.1",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2001-03",,"0","0","9","6","0","0","0","18","0","1","0","25","0","0.0","0.38","73",,"5672","669",,,"1.39",,"0.0","42.8","54.5","31.2",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2001-04",,"2","2","8","4","0","0","0","12","0","5","0","27","0","0.0","0.35","79","5.62","6193","521","43","66","1.17",,"0.0","46.5","58.0","34.9",,,,,"2372.4",,,
"USC00454679","LIND 3 NE, WA US","2001-05",,"51","49","4","1","0","0","0","3","0","22","3","26","0","0.0","0.18","96","9.44","6438","245","49","78","0.30",,"0.0","58.6","76.1","41.1",,,,,"2799.3",,,
"USC00454679","LIND 3 NE, WA US","2001-06",,"79","28","7","3","0","0","0","0","0","24","2","34","0","0.0","0.31","91","9.05","6602","164","53","78","0.78",,"0.0","60.2","76.0","44.4",,,,,"2604.8",,,
"USC00454679","LIND 3 NE, WA US","2001-07",,"245","167","1","0","0","0","0","0","0","30","9","44","0","0.0","0.06","99","11.98","19","19","59","85","0.06",,"0.0","69.8","86.8","52.7",,,,,"2109.6",,,
"USC00454679","LIND 3 NE, WA US","2001-08",,"481","235","2","1","0","0","0","0","0","29","15","44","0","0.0","0.47","102","11.50","33","13","59","86","0.48",,"0.0","72.6","89.6","55.6",,,,,"1780.2",,,
"USC00454679","LIND 3 NE, WA US","2001-09",,"548","68","1","0","0","0","0","0","0","27","5","37","0","0.0","0.09","93","8.50","126","93","52","77","0.09",,"0.0","64.1","81.2","47.1",,,,,"1757.9",,,
"USC00454679","LIND 3 NE, WA US","2001-10",,"548","0","9","2","0","0","0","9","0","4","0","26","0","0.0","0.35","78",,"620","494",,,"0.94",,"0.0","48.6","61.1","36.1",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2001-11",,"548","0","16","7","3","1","0","15","0","0","0","23","5","5.0","0.64","59",,"1269","649",,,"2.08",,"5.0","41.6","49.5","33.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2001-12",,"548","0","12","7","8","3","0","27","7","0","0","16","2","2.4","0.35","49",,"2249","980",,,"1.57",,"7.4","32.4","38.0","26.8",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2002-01",,"0","0","9","3",,"0","0","26","0","0","0","19",,"0.0","0.15","54",,"3163","914",,,"0.58",,"0.0","34.6","40.4","28.8",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2002-02",,"0","0","6","1","0","0","0","21","0","0","0","17","0","0.0","0.29","55",,"3928","765",,,"0.51",,"0.0","36.7","45.6","27.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2002-03",,"0","0","6","1","2","2","0","23","0","0","0","17","1","1.5","0.10","64",,"4720","791",,,"0.29",,"2.5","38.6","48.9","28.3",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2002-04",,"0","0","6","1","0","0","0","12","0","2","0","19","0","0.0","0.25","73","5.85","5227","507",,"63","0.37",,"0.0","48.1","61.8","34.4",,,,,"2722.2",,,
"USC00454679","LIND 3 NE, WA US","2002-05",,"2","2","9","3","0","0","0","6","0","17","0","20","0","0.0","0.38","80","8.96","5523","297","48","73","0.89",,"0.0","54.5","68.8","40.1",,,,,"2709.2",,,
"USC00454679","LIND 3 NE, WA US","2002-06",,"94","92","6","2","0","0","0","0","0","26","8","34","0","0.0","0.46","100","10.95","5618","94","55","81","0.73",,"0.0","64.9","81.0","48.8",,,,,"2658.8",,,
"USC00454679","LIND 3 NE, WA US","2002-07",,"338","244","2","1","0","0","0","0","0","30","17","42","0","0.0","0.30","105","14.37","15","15","59","88","0.37",,"0.0","73.2","91.0","55.5",,,,,"2337.6",,,
"USC00454679","LIND 3 NE, WA US","2002-08",,"470","132","2","0","0","0","0","0","0","31","7","38","0","0.0","0.02","95","12.10","42","27","56","84","0.04",,"0.0","68.4","85.4","51.3",,,,,"1952.3",,,
"USC00454679","LIND 3 NE, WA US","2002-09",,"516","45","1","0","0","0","0","0","0","24","4","33","0","0.0","0.03","92","8.64","200","158","50","74","0.03",,"0.0","61.0","77.6","44.5",,,,,"2273.0",,,
"USC00454679","LIND 3 NE, WA US","2002-10",,"516","0","2","0","0","0","0","20","0","5","0","4","0","0.0","0.06","73",,"783","583",,,"0.09",,"0.0","45.9","61.8","29.9",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2002-11",,"516","0","6","5","0","0","0","14","1","0","0","8","0","0.0","0.28","59",,"1473","690",,,"0.81",,"0.0","38.6","48.6","28.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2002-12",,"516","0","15","7","0","1","0","18","4","0","0","24","0","1.0","0.44","60",,"2219","745",,,"2.05",,"1.6","36.0","40.1","31.9",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2003-01",,"0","0","16","9","2","1","0","26","4","0","0","23","2","2.4","0.54","58",,"3083","865",,,"2.71",,"2.7","36.1","41.8","30.3",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2003-02",,"0","0","6","3","0","0","0","22","0","0","0","13","0","0.0","0.26","55",,"3838","755",,,"0.69",,"0.0","37.1","46.3","27.9",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2003-03",,"0","0","8","4","0","0","0","13","0","1","0","24","0","0.0","0.18","70",,"4409","571",,,"0.70",,"0.0","44.9","54.9","34.9",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2003-04",,"0","0","8","5","0","0","0","9","0","5","0","26","0","0.0","0.46","73","7.34","4853","444","43","66","1.15",,"0.0","49.7","61.9","37.4",,,,,"2599.2",,,
"USC00454679","LIND 3 NE, WA US","2003-05",,"8","8","6","0","0","0","0","7","0","14","1","25","0","0.0","0.06","92","8.86","5178","325","49","74","0.18",,"0.0","54.8","70.2","39.4",,,,,"2271.1",,,
"USC00454679","LIND 3 NE, WA US","2003-06",,"89","81","0","0","0","0","0","0","0","27","5","37","0","0.0","0.00","96","11.74","5256","78","55","84","0.00",,"0.0","65.1","82.7","47.5",,,,,"2482.4",,,
"USC00454679","LIND 3 NE, WA US","2003-07",,"342","253","0","0","0","0","0","0","0","30","21","40","0","0.0","0.00","100","14.37","15","15","59","89","0.00",,"0.0","72.9","92.5","53.2",,,,,"1965.4",,,
"USC00454679","LIND 3 NE, WA US","2003-08",,"544","202","2","0","0","0","0","0","0","31","16","44","0","0.0","0.03","98","12.21","15","0","57","85","0.05",,"0.0","71.5","89.6","53.4",,,,,"1919.4",,,
"USC00454679","LIND 3 NE, WA US","2003-09",,"641","97","1","1","0","0","0","0","0","27","7","35","0","0.0","0.28","99","9.07","124","109","52","76","0.28",,"0.0","64.6","81.2","48.0",,,,,"2102.7",,,
"USC00454679","LIND 3 NE, WA US","2003-10",,"649","8","4","1","0","0","0","6","0","15","0","17","0","0.0","0.10","85",,"430","305",,,"0.26",,"0.0","54.9","69.2","40.5",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2003-11",,"649","0","7","3","5","1","0","25","1","0","0","1","1","1.0","0.18","60",,"1242","812",,,"0.66",,"1.5","34.2","44.1","24.4",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2003-12",,"649","0","15","7",,"1","0","28","6","0","0","6",,"2.2","0.35","48",,"2269","1027",,,"2.06",,"4.6","31.9","37.0","26.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2004-01",,"0","0","10","3","28","5","1","28","19","0","0","-19","13","5.0","0.29","51",,"3477","1208",,,"1.04",,"14.8","26.0","30.6","21.4",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2004-02",,"0","0","10","6","9","2","0","27","0","0","0","17","3","3.2","0.29","56",,"4323","846",,,"1.31",,"5.9","34.9","41.9","27.8",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2004-03",,"0","0","4","2","1","0","0","16","0","3","0","26","1","0.6","0.14","73",,"4882","559",,,"0.31",,"0.6","47.0","60.3","33.6",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2004-04",,"0","0","5","2","0","0","0","6","0","8","0","24","0","0.0","0.28","81","7.61","5278","395","44","71","0.58",,"0.0","51.5","67.1","35.9",,,,,"2263.0",,,
"USC00454679","LIND 3 NE, WA US","2004-05",,"0","0","6","2","0","0","0","1","0","18","0","32","0","0.0","0.30","80","8.85","5550","272","50","75","0.61",,"0.0","55.9","70.1","41.7",,,,,"2594.8",,,
"USC00454679","LIND 3 NE, WA US","2004-06",,"99","99","5","1","0","0","0","0","0","26","5","36","0","0.0","0.18","99","11.52","5654","104","55","82","0.30",,"0.0","65.0","80.9","49.1",,,,,"2413.4",,,
"USC00454679","LIND 3 NE, WA US","2004-07",,"380","281","0","0","0","0","0","0","0","30","17","44","0","0.0","0.00","101","13.79","10","10","60","87","0.00",,"0.0","73.9","90.9","56.9",,,,,"2442.6",,,
"USC00454679","LIND 3 NE, WA US","2004-08",,"641","260","6","2","0","0","0","0","0","31","18","49","0","0.0","0.34","102","12.24","22","13","60","85","0.70",,"0.0","73.0","89.1","56.9",,,,,"1828.7",,,
"USC00454679","LIND 3 NE, WA US","2004-09",,"657","16","6","2","0","0","0","0","0","21","1","35","0","0.0","0.23","92","6.75","195","172",,,"0.61",,"0.0","59.8","75.1","44.5",,,,,"2097.1",,,
"USC00454679","LIND 3 NE, WA US","2004-10",,"660","2","7","2","0","0","0","5","0","12","0","24","0","0.0","0.27","80",,"585","391",,,"0.62",,"0.0","51.9","64.7","39.1",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2004-11",,"660","0","6","4","0","0","0","18","0","0","0","21","0","0.0","0.24","56",,"1364","779",,,"0.65",,"0.0","39.0","47.4","30.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2004-12",,"660","0","8","4","1","0","0","24","2","0","0","18","1","0.8","0.47","55",,"2315","951",,,"1.06",,"1.5","34.3","40.4","28.2",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2005-01",,"0","0","8","3","19","4","0","26","10","0","0","1","6","3.3","0.25","55",,"3311","995",,,"0.69",,"10.1","30.4","38.1","22.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2005-02",,"0","0","1","0","0","0","0","25","0","0","0","17","0","0.0","0.05","61",,"4066","756",,,"0.05",,"0.0","37.1","49.0","25.1",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2005-03",,"0","0","5","3","0","0","0","19","0","0","0","21","0","0.0","0.41","69",,"4692","626",,,"0.85",,"0.0","44.8","57.7","32.0",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2005-04",,"0","0","7","1","0","0","0","8","0","9","0","26","0","0.0","0.19","78","6.55","5107","414","43","67","0.38",,"0.0","50.6","63.7","37.5",,,,,"2373.0",,,
"USC00454679","LIND 3 NE, WA US","2005-05",,"20","20","8","4","0","0","0","0","0","19","2","35","0","0.0","0.31","91","8.27","5300","193","51","77","0.95",,"0.0","59.4","73.1","45.8",,,,,"2030.6",,,
"USC00454679","LIND 3 NE, WA US","2005-06",,"58","38","4","2","0","0","0","0","0","28","3","37","0","0.0","0.17","96","10.83","5404","104","53","80","0.41",,"0.0","62.5","78.0","47.0",,,,,"2505.4",,,
"USC00454679","LIND 3 NE, WA US","2005-07",,"265","207","3","1","0","0","0","0","0","31","16","44","0","0.0","0.30","101","16.06","2","2","59","87","0.37",,"0.0","71.6","89.5","53.7",,,,,"2276.1",,,
"USC00454679","LIND 3 NE, WA US","2005-08",,"459","194","1","1","0","0","0","0","0","30","18","41","0","0.0","0.23","99","14.38","15","13","56","85","0.23",,"0.0","71.0","89.9","52.1",,,,,"1964.2",,,
"USC00454679","LIND 3 NE, WA US","2005-09",,"467","8","4","1","0","0","0","0","0","24","0","33","0","0.0","0.23","86","8.91","189","173","49","73","0.32",,"0.0","59.3","75.1","43.5",,,,,"1457.7",,,
"USC00454679","LIND 3 NE, WA US","2005-10",,"467","0","7","3","0","0","0","2","0","3","0","28","0","0.0","0.53","76",,"572","383",,,"1.07",,"0.0","52.0","62.6","41.4",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2005-11",,"467","0","14","5","0","0","0","21","0","0","0","19","0","0.0","0.22","51",,"1402","830",,,"1.14",,"0.0","36.4","43.1","29.6",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2005-12",,"467","0","13","6","19","1","2","22","15","0","0","-1","2","1.4","0.38","47",,"2447","1045",,,"1.69",,"2.0","25.9","32.2","19.6",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2006-01",,"0","0","21","11","1","1","0","18","0","0","0","24","1","1.0","0.51","56",,"3241","794",,,"3.33",,"1.0","39.4","46.2","32.5",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2006-02",,"0","0","6","3","0","0","0","23","2","0","0","4","0","0.0","0.29","52",,"4066","825",,,"0.75",,"0.0","34.3","44.1","24.5",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2006-03",,"0","0","7","2","0","0","0","17","0","0","0","24","0","0.0","0.18","63",,"4722","655",,,"0.48",,"0.0","42.3","52.1","32.6",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2006-04",,"0","0","9","4","0","0","0","7","0","4","0","25","0","0.0","0.20","78","5.13","5132","411",,,"0.78",,"0.0","49.4","62.1","36.7",,,,,"2214.6",,,
"USC00454679","LIND 3 NE, WA US","2006-05",,"54","54","7","3","0","0","0","7","0","18","5","24","0","0.0","0.89","96","8.70","5423","290","48","76","1.40",,"0.0","57.4","73.3","41.4",,,,,"2056.7",,,
"USC00454679","LIND 3 NE, WA US","2006-06",,"127","73","3","3","0","0","0","0","0","30","5","40","0","0.0","0.46","99","9.18","5522","99","55","82","0.97",,"0.0","64.1","79.9","48.4",,,,,"1741.1",,,
"USC00454679","LIND 3 NE, WA US","2006-07",,"407","280","0","0","0","0","0","0","0","30","19","37","0","0.0","0.00","104","14.80","10","10","59","87","0.00",,"0.0","73.9","92.6","55.3",,,,,"1632.3",,,
"USC00454679","LIND 3 NE, WA US","2006-08",,"537","129","0","0","0","0","0","0","0","29","10","35","0","0.0","0.00","102","11.97","37","27","54","82","0.00",,"0.0","69.0","87.3","50.6",,,,,"1408.6",,,
"USC00454679","LIND 3 NE, WA US","2006-09",,"601","65","1","0","0","0","0","2","0","21","6","31","0","0.0","0.08","97","7.64","175","138","48","73","0.08",,"0.0","62.3","79.6","45.1",,,,,"1068.8",,,
"USC00454679","LIND 3 NE, WA US","2006-10",,"601","0","4","2","0","0","0","11","0","5","0","20","0","0.0","0.14","74",,"612","437",,,"0.30",,"0.0","49.4","63.4","35.3",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2006-11",,"601","0","16","9","5","1","1","17","2","0","0","-1","2","1.2","0.32","63",,"1376","764",,,"2.48",,"1.9","38.2","46.1","30.4",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2006-12",,"601","0","11","7","13","1","0","26","13","0","0","4","2","1.7","0.44","49",,"2491","1116",,,"1.79",,"1.7","27.8","33.4","22.2",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2007-01",,"0","0","6","2","6","2","0","28","13","0","0","1","2","2.0","0.24","49",,"3665","1174",,,"0.40",,"3.8","27.1","34.0","20.3",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2007-02",,"0","0","10","5","1","1","0","23","1","0","0","12","1","1.3","0.24","60",,"4484","818",,,"1.23",,"1.7","35.8","42.4","29.2",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2007-03",,"0","0","7","2","0","0","0","14","0","0","0","21","0","0.0","0.27","67",,"5046","563",,,"0.68",,"0.0","45.6","57.0","34.1",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2007-04",,"0","0","5","3","0","0","0","11","0","4","0","24","0","0.0","0.22","72","5.68","5540","494","41","64","0.53",,"0.0","48.1","61.2","35.1",,,,,"2059.2",,,
"USC00454679","LIND 3 NE, WA US","2007-05",,"5","5","6","1","0","0","0","2","0","21","0","30","0","0.0","0.13","87","8.99","5767","227","47","74","0.33",,"0.0","57.8","74.0","41.6",,,,,"1815.6",,,
"USC00454679","LIND 3 NE, WA US","2007-06",,"80","75","3","1","0","0","0","0","0","26","5","39","0","0.0","0.51","96","10.27","5856","89","51","78","0.56",,"0.0","64.0","79.5","48.5",,,,,"2397.9",,,
"USC00454679","LIND 3 NE, WA US","2007-07",,"360","280","2","1","0","0","0","0","0","30","21","47","0","0.0","0.13","105","13.76","0","0","58","86","0.15",,"0.0","74.7","92.2","57.2",,,,,"1820.0",,,
"USC00454679","LIND 3 NE, WA US","2007-08",,"474","114","3","1","0","0","0","0","0","29","8","42","0","0.0","0.47","98","11.13","30","30","53","80","0.50",,"0.0","68.1","85.5","50.6",,,,,"1665.9",,,
"USC00454679","LIND 3 NE, WA US","2007-09",,"492","18","3","1","0","0","0","3","0","23","0","29","0","0.0","0.13","88","7.96","196","166","45","70","0.17",,"0.0","60.0","76.1","44.0",,,,,"1557.8",,,
"USC00454679","LIND 3 NE, WA US","2007-10",,"492","0","6","2","0","0","0","8","0","4","0","20","0","0.0","0.29","80",,"695","499",,,"0.67",,"0.0","48.9","61.8","36.0",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2007-11",,"492","0","9","4","4","1","0","21","6","0","0","14","1","1.3","0.37","64",,"1423","728",,,"1.11",,"2.0","37.0","45.7","28.3",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2007-12",,"492","0","14","5","8","1","0","24","8","0","0","12","2","2.4","0.33","56",,"2382","959",,,"1.09",,"5.2","30.6","36.6","24.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2008-01",,"0","0","14","5","26","9","0","30","15","0","0","1","8","5.5","0.67","48",,"3573","1190",,,"1.63",,"22.0","25.4","32.1","18.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2008-02",,"0","0","5","1","12","2","0","23","2","0","0","17","7","3.0","0.11","58",,"4367","794",,,"0.24",,"4.5","35.6","42.9","28.3",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2008-03",,"0","0","10","3","0","1","0","22","0","0","0","20","0","2.0","0.31","59",,"5143","776",,,"0.81",,"2.0","40.0","50.7","29.2",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2008-04",,"0","0","3","1","0","0","0","18","0","6","0","21","0","0.0","0.16","77","5.81","5752","609","36","59","0.20",,"0.0","44.7","58.2","31.2",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2008-05",,"18","18","3","0","0","0","0","5","0","17","1","26","0","0.0","0.05","92","9.07","5978","226","45","71","0.10",,"0.0","58.0","73.0","43.0",,,,,"2622.2",,,
"USC00454679","LIND 3 NE, WA US","2008-06",,"86","68","6","2","0","0","0","0","0","23","5","37","0","0.0","0.19","102","10.43","6119","141","48","74","0.49",,"0.0","62.4","79.1","45.8",,,,,"2986.9",,,
"USC00454679","LIND 3 NE, WA US","2008-07",,"261","175","0","0","0","0","0","0","0","30","13","42","0","0.0","0.00","95","13.09","5","5","54","82","0.00",,"0.0","70.9","88.1","53.6",,,,,"2110.2",,,
"USC00454679","LIND 3 NE, WA US","2008-08",,"433","172","2","1","0","0","0","0","0","28","11","39","0","0.0","0.24","106","11.43","35","29","52","79","0.28",,"0.0","70.1","87.7","52.4",,,,,"2035.0",,,
"USC00454679","LIND 3 NE, WA US","2008-09",,"471","38","0","0","0","0","0","1","0","26","4","27","0","0.0","0.00","94","7.99","158","123","50","75","0.00",,"0.0","62.2","78.9","45.5",,,,,"1562.1",,,
"USC00454679","LIND 3 NE, WA US","2008-10",,"479","8","4","1","0","0","0","16","0","4","0","22","0","0.0","0.17","87",,"622","464",,,"0.25",,"0.0","49.7","63.6","35.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2008-11",,"479","0","11","3","0","0","0","17","0","0","0","22","0","0.0","0.19","65",,"1310","688",,,"0.78",,"0.0","40.7","48.5","32.8",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2008-12",,"479","0","13","6","16","5","6","29","13","0","0","-10","9","2.2","0.53","46",,"2612","1302",,,"1.50",,"11.3","23.0","29.6","16.4",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2009-01",,"0","0","6","4","6","2","0","27","16","0","0","1","6","4.0","0.33","52",,"3662","1049",,,"0.87",,"5.7","28.8","34.8","22.9",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2009-02",,"0","0","6","3","0","0","0","26","0","0","0","21","0","0.0","0.30","53",,"4463","801",,,"0.80",,"0.0","35.3","43.3","27.3",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2009-03",,"0","0","12","3","0","0","0","18","2","0","0","15","0","0.4","0.93","63",,"5208","745",,,"1.76",,"0.4","39.2","48.5","29.8",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2009-04",,"0","0","6","5","1","1","0","12","0","6","0","24","2","1.5","0.23","80","5.22","5731","523","41","66","0.89",,"1.5","47.6","61.3","33.8",,,,,"2160.5",,,
"USC00454679","LIND 3 NE, WA US","2009-05",,"21","21","6","3","0","0","0","1","0","16","3","30","0","0.0","0.31","91","8.57","6005","274","48","77","0.84",,"0.0","56.8","72.6","41.1",,,,,"2317.7",,,
"USC00454679","LIND 3 NE, WA US","2009-06",,"76","56","4","1","0","0","0","0","0","27","0","38","0","0.0","0.11","88","10.99","6076","71","55","82","0.22",,"0.0","64.5","80.0","48.9",,,,,"2450.1",,,
"USC00454679","LIND 3 NE, WA US","2009-07",,"326","250","1","1","0","0","0","0","0","30","22","42","0","0.0","0.10","99","13.72","14","14","59","88","0.10",,"0.0","73.1","91.4","54.7",,,,,"2145.6",,,
